172.217.4.110,resolve,encrypted-tbn0.gstatic.com
216.58.216.206,resolve,plus.l.google.com
216.58.192.142,resolve,encrypted-tbn2.gstatic.com
172.217.4.78,resolve,encrypted-tbn2.gstatic.com
216.58.192.226,resolve,adservice.google.com
216.58.192.142,resolve,encrypted-tbn3.gstatic.com
216.58.192.174,resolve,encrypted-tbn3.gstatic.com
216.58.216.206,resolve,notifications.google.com
172.217.6.110,resolve,apis.google.com
216.58.192.226,resolve,googleads.g.doubleclick.net
216.58.192.133,resolve,mail.google.com
216.58.192.133,resolve,googlemail.l.google.com
216.58.216.99,resolve,fonts.gstatic.com
216.58.216.99,resolve,gstaticadssl.l.google.com
172.217.6.110,resolve,contacts.google.com
172.217.1.46,resolve,clients2.google.com
172.217.4.78,resolve,hangouts.google.com
172.217.1.46,resolve,clients6.google.com
216.58.216.234,resolve,people-pa.clients6.google.com
216.58.192.234,resolve,people-pa.clients6.google.com
172.217.8.174,resolve,encrypted-tbn0.gstatic.com
172.217.4.193,resolve,lh5.googleusercontent.com
192.168.223.3,resolve,0xalsaheel.com
74.125.69.189,resolve,9.client-channel.google.com
172.217.1.46,resolve,clients4.google.com
172.217.1.35,resolve,ssl.gstatic.com
172.217.8.195,resolve,ssl.gstatic.com
172.217.8.164,resolve,www.google.com
172.217.8.174,resolve,play.google.com
149.165.180.9,resolve,www.download.windowsupdate.com
172.217.0.14,resolve,play.google.com
172.217.5.14,resolve,notifications.google.com
172.217.9.46,resolve,notifications.google.com
172.217.5.14,resolve,plus.l.google.com
52.26.173.131,resolve,services.addons.mozilla.org
35.164.167.122,resolve,versioncheck-bg.addons.mozilla.org
216.58.216.67,resolve,ssl.gstatic.com
c:/windows/system32/svchost.exe_920,read,c:/windows/system32/driverstore/en-us;c:/windows/inf
c:/windows/system32/services.exe_516,fork,c:/windows/system32/taskhost.exe_1672
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/imm32.dll
c:/windows/system32/taskhost.exe_1672,execute,c:/windows/system32
NOPROCESSNAME_2232,executed,NOPROCESSNAME
c:/windows/system32/services.exe_516,execute,c:/windows/system32/wsqmcons.exe
c:/windows/system32/services.exe_516,execute,c:/windows/system32/wermgr.exe
c:/windows/system32/services.exe_516,execute,c:/windows/system32/taskhost.exe
c:/programfiles/vmware/vmwaretools/vmtoolsd.exe_2232,read,c:/programdata/vmware/vmwaretools/manifest.txt
c:/programfiles/mozillafirefox/firefox.exe_3148,read,c:/windows/system32/dhcpcsvc6.dll
NOPROCESSNAME_3064,executed,NOPROCESSNAME
c:/windows/system32/csrss.exe_408,fork,NOPROCESSNAME_3064
c:/windows/system32/svchost.exe_920,read,c:/windows/system32/stdole2.tlb
c:/windows/system32/svchost.exe_920,read,c:/windows/system32/rascfg.dll;c:/windows/system32/tcpipcfg.dll
c:/windows/system32/svchost.exe_920,read,c:/windows/system32/es.dll
c:/windows/system32/ipconfig.exe_364,read,c:/windows/system32/imm32.dll
c:/windows/system32/ipconfig.exe_364,read,c:/windows/system32/dhcpcsvc.dll
c:/windows/system32/ipconfig.exe_364,executed,c:/windows/system32/ipconfig.exe
c:/windows/system32/ipconfig.exe_364,read,c:/windows/system32/sechost.dll
c:/windows/system32/ipconfig.exe_364,read,c:/windows/system32/dhcpcsvc6.dll
c:/windows/system32/ipconfig.exe_364,execute,c:/windows/system32
c:/windows/system32/ipconfig.exe_364,read,c:/windows/system32/dnsapi.dll
c:/windows/system32/cmd.exe_3064,fork,c:/windows/system32/ipconfig.exe_364
c:/windows/system32/ipconfig.exe_364,read,c:/windows/system32/iphlpapi.dll;c:/windows/system32/winnsi.dll
c:/windows/system32/ipconfig.exe_364,read,c:/windows/system32/en-us/ipconfig.exe.mui
c:/windows/system32/services.exe_516,fork,c:/windows/system32/taskhost.exe_920
c:/windows/system32/taskhost.exe_920,executed,c:/windows/system32/taskhost.exe
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/pautoenr.dll;c:/windows/system32/certcli.dll;c:/windows/system32/certenroll.dll
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/npmproxy.dll
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/rpcrtremote.dll
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/taskschd.dll
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/sechost.dll
c:/windows/system32/taskhost.exe_1672,read,c:/windows/globalization/sorting/sortdefault.nls
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/cryptbase.dll
c:/windows/system32/taskhost.exe_1672,read,c:/windows/registration/r000000000006.clb
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/rsaenh.dll
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/atl.dll
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/rpcss.dll
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/dsrole.dll
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/dimsjob.dll
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/sspicli.dll
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/nlaapi.dll
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/netprofm.dll
c:/windows/system32/taskhost.exe_1672,read,c:/windows/system32/cryptsp.dll
c:/windows/system32/services.exe_516,fork,c:/windows/system32/sdclt.exe_2552
c:/windows/system32/sdclt.exe_2552,executed,c:/windows/system32/sdclt.exe
c:/windows/system32/sdclt.exe_2552,execute,c:/windows/system32
c:/programfiles/vmware/vmwaretools/vmtoolsd.exe_1796,execute,c:/programfiles/vmware/vmwaretools/resume-vm-default.bat
c:/programfiles/vmware/vmwaretools/vmtoolsd.exe_1796,execute,c:/windows/system32/cmd.exe
c:/windows/system32/conhost.exe_2992,read,c:/windows/system32/sc.exe
c:/windows/system32/conhost.exe_2992,read,c:/windows/system32/en-us/conhost.exe.mui
c:/windows/system32/conhost.exe_2992,read,c:/windows/system32/en-us/user32.dll.mui
